Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AcessoApuracao,Chrome 135.0.7049.41,,,07-04-2025 17:07:30,07-04-2025 17:08:48,"1m - 17,574s",PASSED
,,,,,,,
Test Cases/Login Test,Chrome 135.0.7049.41,,,07-04-2025 17:07:31,07-04-2025 17:08:09,"38,728s",PASSED
"openBrowser("""")",Chrome 135.0.7049.41,,,07-04-2025 17:07:31,07-04-2025 17:07:33,"1,925s",PASSED
"navigateToUrl(""https://app.sittax.com.br/login"")",Chrome 135.0.7049.41,,,07-04-2025 17:07:33,07-04-2025 17:07:34,"1,601s",PASSED
"setText(findTestObject(""Object Repository/Page_Simples/input_Usurio_usuario""), ""lucas.gontijo@sittax.com.br"")",Chrome 135.0.7049.41,,,07-04-2025 17:07:34,07-04-2025 17:07:36,"1,551s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Simples/input_Senha_senha""), ""Q+mFkPFOH/RZRQ478vxz1g=="")",Chrome 135.0.7049.41,,,07-04-2025 17:07:36,07-04-2025 17:07:36,"0,335s",PASSED
"sendKeys(findTestObject(""Object Repository/Page_Simples/input_Senha_senha""), Keys.chord(ENTER))",Chrome 135.0.7049.41,,,07-04-2025 17:07:36,07-04-2025 17:07:37,"0,294s",PASSED
"setText(findTestObject(""Object Repository/Page_Simples/input_Selecione uma empresa_selectHeaderEmp_72c3ac""), ""a. f c"")",Chrome 135.0.7049.41,,,07-04-2025 17:07:37,07-04-2025 17:07:50,"13,814s",PASSED
"sendKeys(findTestObject(""Object Repository/Page_Simples/input_Selecione uma empresa_selectHeaderEmp_72c3ac""), Keys.chord(ENTER))",Chrome 135.0.7049.41,,,07-04-2025 17:07:50,07-04-2025 17:07:51,"0,434s",PASSED
"click(findTestObject(""Object Repository/Page_Simples/div_mar2025""))",Chrome 135.0.7049.41,,,07-04-2025 17:07:51,07-04-2025 17:07:55,"4,393s",PASSED
"click(findTestObject(""Object Repository/Page_Simples/span_Fevereiro""))",Chrome 135.0.7049.41,,,07-04-2025 17:07:55,07-04-2025 17:07:56,"0,477s",PASSED
"click(findTestObject(""Object Repository/Page_Simples/a_MEI""))",Chrome 135.0.7049.41,,,07-04-2025 17:07:56,07-04-2025 17:08:06,"10,792s",PASSED
"click(findTestObject(""Object Repository/Page_Simples/a_Simples Nacional""))",Chrome 135.0.7049.41,,,07-04-2025 17:08:06,07-04-2025 17:08:09,"2,894s",PASSED
,,,,,,,
Test Cases/TelaApuracao,Chrome 135.0.7049.41,,,07-04-2025 17:08:09,07-04-2025 17:08:48,"38,651s",PASSED
"openBrowser("""")",Chrome 135.0.7049.41,,,07-04-2025 17:08:09,07-04-2025 17:08:11,"1,045s",PASSED
"navigateToUrl(""https://app.sittax.com.br/login"")",Chrome 135.0.7049.41,,,07-04-2025 17:08:11,07-04-2025 17:08:12,"1,593s",PASSED
"setText(findTestObject(""Object Repository/Page_Simples/input_Usurio_usuario (1)""), ""lucas.gontijo@sittax.com"")",Chrome 135.0.7049.41,,,07-04-2025 17:08:12,07-04-2025 17:08:13,"0,913s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Simples/input_Senha_senha (1)""), ""Q+mFkPFOH/RZRQ478vxz1g=="")",Chrome 135.0.7049.41,,,07-04-2025 17:08:13,07-04-2025 17:08:13,"0,318s",PASSED
"sendKeys(findTestObject(""Object Repository/Page_Simples/input_Senha_senha (1)""), Keys.chord(ENTER))",Chrome 135.0.7049.41,,,07-04-2025 17:08:13,07-04-2025 17:08:14,"0,265s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Simples/input_Senha_senha (1)""), ""Q+mFkPFOH/RZRQ478vxz1g=="")",Chrome 135.0.7049.41,,,07-04-2025 17:08:14,07-04-2025 17:08:14,"0,771s",PASSED
"sendKeys(findTestObject(""Object Repository/Page_Simples/input_Senha_senha (1)""), Keys.chord(ENTER))",Chrome 135.0.7049.41,,,07-04-2025 17:08:14,07-04-2025 17:08:15,"0,280s",PASSED
"setText(findTestObject(""Object Repository/Page_Simples/input_Usurio_usuario (1)""), ""lucas.gontijo@sittax.com.br"")",Chrome 135.0.7049.41,,,07-04-2025 17:08:15,07-04-2025 17:08:16,"0,881s",PASSED
"sendKeys(findTestObject(""Object Repository/Page_Simples/input_Usurio_usuario (1)""), Keys.chord(ENTER))",Chrome 135.0.7049.41,,,07-04-2025 17:08:16,07-04-2025 17:08:16,"0,269s",PASSED
"setText(findTestObject(""Object Repository/Page_Simples/input_Selecione uma empresa_selectHeaderEmp_72c3ac (1)""), ""a. f c"")",Chrome 135.0.7049.41,,,07-04-2025 17:08:16,07-04-2025 17:08:27,"10,842s",PASSED
"sendKeys(findTestObject(""Object Repository/Page_Simples/input_Selecione uma empresa_selectHeaderEmp_72c3ac (1)""), Keys.chord(ENTER))",Chrome 135.0.7049.41,,,07-04-2025 17:08:27,07-04-2025 17:08:27,"0,448s",PASSED
"click(findTestObject(""Object Repository/Page_Simples/div_mar2025 (1)""))",Chrome 135.0.7049.41,,,07-04-2025 17:08:27,07-04-2025 17:08:32,"4,420s",PASSED
"click(findTestObject(""Object Repository/Page_Simples/span_Janeiro""))",Chrome 135.0.7049.41,,,07-04-2025 17:08:32,07-04-2025 17:08:32,"0,412s",PASSED
"click(findTestObject(""Object Repository/Page_Simples/img_Fechar_p-0 rounded-circle""))",Chrome 135.0.7049.41,,,07-04-2025 17:08:32,07-04-2025 17:08:43,"10,850s",PASSED
"click(findTestObject(""Object Repository/Page_Simples/span_Apurao""))",Chrome 135.0.7049.41,,,07-04-2025 17:08:43,07-04-2025 17:08:43,"0,516s",PASSED
"click(findTestObject(""Object Repository/Page_Simples/span_Gerar apurao""))",Chrome 135.0.7049.41,,,07-04-2025 17:08:43,07-04-2025 17:08:44,"0,656s",PASSED
"click(findTestObject(""Object Repository/Page_Simples/button_OK""))",Chrome 135.0.7049.41,,,07-04-2025 17:08:44,07-04-2025 17:08:48,"4,076s",PASSED
